# degree               ccdd
       1         1.00000000
       2         0.58897418
       3         0.45394278
       4         0.37578507
       5         0.32414515
       6         0.28890440
       7         0.25959525
       8         0.23900907
       9         0.22086532
      10         0.20586183
      11         0.19225401
      12         0.17899512
      13         0.16852756
      14         0.15736218
      15         0.15038381
      16         0.14270761
      17         0.13572924
      18         0.13189114
      19         0.12770412
      20         0.12037683
      21         0.11444522
      22         0.11025820
      23         0.10746685
      24         0.10397767
      25         0.10083740
      26         0.09909281
      27         0.09699930
      28         0.09385904
      29         0.09281228
      30         0.08967202
      31         0.08862526
      33         0.08618283
      34         0.08513608
      35         0.08478716
      36         0.08408932
      37         0.08234473
      38         0.08060014
      39         0.07955338
      40         0.07815771
      41         0.07745987
      42         0.07676204
      43         0.07641312
      44         0.07606420
      45         0.07571528
      46         0.07397069
      47         0.07257502
      48         0.07117934
      49         0.07083043
      50         0.06978367
      51         0.06838800
      53         0.06803908
      54         0.06664341
      55         0.06594557
      56         0.06454990
      57         0.06385206
      58         0.06245639
      59         0.06140963
      60         0.06036288
      61         0.05966504
      62         0.05861828
      63         0.05826936
      64         0.05757153
      65         0.05687369
      66         0.05547802
      67         0.05512910
      68         0.05478018
      69         0.05338451
      70         0.05303559
      71         0.05163992
      72         0.05094208
      73         0.04989532
      74         0.04954641
      75         0.04919749
      76         0.04780181
      77         0.04710398
      78         0.04675506
      79         0.04640614
      80         0.04570830
      81         0.04466155
      82         0.04396371
      84         0.04361479
      85         0.04256804
      86         0.04221912
      87         0.04187020
      89         0.04082345
      90         0.03977669
      91         0.03907886
      93         0.03872994
      94         0.03733426
      95         0.03663643
      96         0.03628751
      97         0.03558967
      98         0.03524075
      99         0.03489184
     100         0.03384508
     101         0.03314724
     102         0.03279833
     103         0.03244941
     104         0.03210049
     105         0.03175157
     107         0.03140265
     108         0.03105373
     109         0.03070482
     110         0.03035590
     111         0.03000698
     112         0.02861130
     113         0.02721563
     114         0.02547104
     115         0.02372645
     116         0.02337753
     117         0.02302861
     119         0.02233077
     120         0.02163294
     121         0.02093510
     122         0.02058618
     123         0.01953943
     124         0.01919051
     126         0.01814375
     127         0.01779484
     128         0.01639916
     131         0.01605024
     132         0.01570133
     134         0.01535241
     135         0.01430565
     136         0.01395673
     138         0.01360782
     139         0.01325890
     140         0.01290998
     143         0.01221214
     145         0.01186322
     146         0.01151431
     147         0.01116539
     148         0.01046755
     151         0.01011863
     155         0.00942080
     159         0.00907188
     166         0.00872296
     174         0.00837404
     175         0.00802512
     178         0.00767620
     181         0.00732729
     183         0.00697837
     187         0.00628053
     191         0.00593161
     197         0.00523378
     208         0.00488486
     210         0.00453594
     213         0.00418702
     218         0.00383810
     225         0.00314027
     229         0.00279135
     230         0.00244243
     236         0.00209351
     237         0.00174459
     247         0.00139567
     249         0.00104676
     289         0.00069784
     295         0.00034892
